Date,ID,SYMBOL,MIC,FREE_FLOAT_PERCENTAGE,EST_VOL,MDV_63,Open,High,Low,Close,Volume,PxAdjFactor,SharesAdjFactor
20140805,BBG000BJP882,FMC,XNYS,99.1447,0.17644,67198310.0,65.33,65.44,64.47,64.81,1111574.0,2.1087885,0.5
20140805,BBG000BBL0Y1,ALK,XNYS,99.4351,0.21341,67044100.0,43.48,43.97,42.595,42.72,2185264.0,4.046581,0.25
20140805,BBG000BRZJR8,ITMN,XNGS,99.3141,0.46889,67415736.0,44.5,45.78,44.26,44.75,1331303.0,1.0,1.0
20140805,BBG002PHSYX9,FANG,XNGS,80.1495,0.2886499999999999,83575920.0,82.01,82.7399,78.17,78.93,1499672.0,1.0,1.0
20140805,BBG000BBNYF6,DRI,XNYS,99.1546,0.21309,67831510.0,47.61,48.4,47.21,47.29,1854160.0,1.2572353,1.0
20140805,BBG000BB29X4,DTE,XNYS,99.5924,0.08726,67632640.0,73.22,73.6,71.88,72.11,1111128.0,1.3641585,1.0
20140805,BBG000BKXFN7,PTEN,XNGS,97.2949,0.2171599999999999,69423190.0,34.51,34.51,33.29,33.71,3518880.0,1.1016723,1.0
20140805,BBG000BBCDZ2,ROK,XNYS,99.2911,0.16163,68132776.0,112.1,113.66,111.7,112.31,849007.0,1.1755012,1.0
20140805,BBG000BWCKB6,VFC,XNYS,79.7328,0.11738,85383020.0,61.08,61.54,60.59,61.08,1479034.0,4.768275,0.25
20140805,BBG000F9KJN4,RAX,XNYS,82.2742,0.5002,82748340.0,30.0,30.46,29.77,29.97,1686244.0,1.0,1.0
20140805,BBG000BKTT89,HAR,XNYS,99.5415,0.28019,68529000.0,110.97,111.53,108.85,108.99,656480.0,1.0384789,1.0
20140805,BBG000BKLH74,GPS,XNYS,57.4129,0.19344,118885240.0,39.86,40.165,39.545,40.03,3107534.0,1.1415716,1.0
20140805,BBG000BFVXX0,CMS,XNYS,99.1624,0.07852,68845610.0,28.72,28.86,28.305,28.39,2056315.0,1.2914174,1.0
20140805,BBG000BWP7D9,WEC,XNYS,99.7405,0.10649,68507090.0,43.33,43.6,42.69,42.87,1546184.0,2.4527135,0.5
20140805,BBG000K14Q84,JOY,XNYS,99.1786,0.2362,69017820.0,58.89,59.64,58.66,58.88,2361322.0,1.0938938,1.0
20140805,BBG000BHB3M6,DOV,XNYS,98.5957,0.11619,69536470.0,85.94,86.13,84.73,85.01,1037874.0,1.3951504,1.0
20140805,BBG000D9DMK0,LH,XNYS,99.5824,0.14674,69046024.0,104.06,104.29,102.66,102.93,465351.0,1.0,1.0
20140805,BBG000BJ49H3,BWA,XNYS,98.5185,0.1349,69926780.0,61.52,62.21,61.305,61.39,1583159.0,2.0565345,0.5
20140805,BBG000BTQR96,SWK,XNYS,98.7643,0.15946,69988060.0,87.52,88.19,86.411,86.91,1268269.0,1.19337,1.0
20140805,BBG000BFS7D3,CLX,XNYS,99.3794,0.11528,69567590.0,86.44,87.21,86.03,86.48,1207399.0,1.2475653,1.0
20140805,BBG000D14WM3,KOG,XNYS,97.5872,0.21859,70888824.0,15.33,15.42,14.85,15.06,6053349.0,1.0,1.0
20140805,BBG000BMZ7P7,KSU,XNYS,98.2853,0.17506,70408296.0,108.0,108.9,107.72,108.36,628755.0,1.024516,1.0
20140805,BBG000CGT2S4,UPL,XNYS,96.8384,0.26291,71559290.0,23.28,23.4805,22.7,23.14,4132040.0,1.0,1.0
20140805,BBG000BKQG80,IACI,XNGS,98.6999,0.2228,70706820.0,65.97,66.17,64.38,64.76,1544643.0,1.1986811,2.0
20140805,BBG000BPNP00,MXIM,XNGS,99.2173,0.19954,70551900.0,29.45,30.04,29.4,29.84,2248997.0,1.2538942,1.0
20140805,BBG000BCTQ65,XEL,XNYS,99.7613,0.07616,70295460.0,30.57,30.81,30.1,30.23,3427958.0,1.3254536,1.0
20140805,BBG000BKWSR6,HBAN,XNGS,98.8383,0.13116,71240104.0,9.66,9.71,9.52,9.56,9535986.0,1.1878533,1.0
20140805,BBG000BQD1J2,FOX,XNGS,53.9597,0.19877,131032310.0,31.37,31.58,31.0,31.03,4171997.0,1.2029082,1.0
20140805,BBG000F6ZWH2,DKS,XNYS,98.2785,0.24593,72051230.0,42.17,42.79,41.97,42.32,1165195.0,1.0846456,1.0
20140805,BBG000G6BN50,PNRA,XNGS,98.9074,0.18948,72058824.0,148.93,150.66,147.1,149.26,652913.0,1.0,1.0
20140805,BBG000BMKDM3,K,XNYS,72.0788,0.1616,99100160.0,61.68,61.99,61.29,61.4,1648089.0,1.2181023,1.0
20140805,BBG000FLPRH1,CAR,XNGS,98.6744,0.25203,72567176.0,60.5,61.18,59.28,59.62,2513477.0,1.0,1.0
20140805,BBG000BPMH90,MUR,XNYS,94.6988,0.1819599999999999,75780744.0,61.59,61.89,60.39,60.67,1526945.0,1.3669617,1.0
20140805,BBG000PV2L86,WYN,XNYS,99.0176,0.14073,72746480.0,76.52,76.89,75.62,75.92,922557.0,1.1335696,1.0
20140805,BBG000BRXP69,EW,XNYS,98.9047,0.23921,72896300.0,93.53,94.78,93.2,93.81,1409533.0,2.0,0.5
20140805,BBG000D9KWL9,MTB,XNYS,91.3945,0.09999,79480920.0,119.5,120.89,119.258,119.79,491017.0,1.2612082,1.0
20140805,BBG000BB1TH9,FLR,XNYS,99.4394,0.12418,73386480.0,72.48,73.27,71.93,72.23,1501931.0,2.1355476,0.5
